x,y
1850.0,2216.0
2098.0,1730.0
1834.0,2470.0
394.0,3350.0
2546.0,1392.0
1756.0,2486.0
1738.0,2260.0
412.0,3924.0
2210.0,1894.0
1906.0,2232.0
3062.0,1814.0
1652.0,2512.0
2414.0,1266.0
2564.0,2550.0
1592.0,2462.0
660.0,3392.0
384.0,3160.0
2026.0,2330.0
398.0,3666.0
2638.0,1422.0
2118.0,1372.0
2460.0,1316.0
2298.0,1048.0
130.0,3448.0
1902.0,2274.0
652.0,3450.0
2824.0,1718.0
512.0,3586.0
262.0,3266.0
352.0,3224.0
2510.0,1756.0
1868.0,1544.0
2276.0,2176.0
592.0,3698.0
520.0,3696.0
2630.0,2140.0
452.0,3428.0
2044.0,1844.0
1750.0,2794.0
2920.0,1236.0
2114.0,2196.0
2512.0,1548.0
252.0,3574.0
1658.0,2364.0
400.0,3636.0
2032.0,2110.0
1610.0,2530.0
2328.0,2784.0
280.0,3504.0
226.0,3196.0
2358.0,1242.0
2508.0,1298.0
652.0,3592.0
218.0,3980.0
58.0,3708.0
2550.0,1558.0
394.0,2382.0
1792.0,2116.0
280.0,2776.0
434.0,3588.0
1818.0,2676.0
488.0,3602.0
2068.0,2200.0
2094.0,2348.0
2032.0,2870.0
272.0,3938.0
2122.0,2312.0
2006.0,1890.0
2584.0,1348.0
2796.0,1268.0
1850.0,2248.0
2368.0,1474.0
450.0,3624.0
578.0,3610.0
474.0,3656.0
1716.0,2816.0
886.0,3450.0
3938.0,1458.0
370.0,3924.0
2648.0,1544.0
1808.0,2448.0
904.0,3874.0
302.0,3200.0
252.0,3200.0
2662.0,1316.0
1750.0,2224.0
386.0,2754.0
2532.0,1718.0
568.0,3680.0
2308.0,1360.0
1832.0,2746.0
276.0,10.0
168.0,3124.0
2406.0,1992.0
2198.0,2056.0
2576.0,1298.0
582.0,3450.0
488.0,3470.0
390.0,3924.0
2186.0,2424.0
2562.0,1862.0
296.0,3922.0
2020.0,2814.0
2060.0,1470.0
334.0,3418.0
2746.0,1394.0
1982.0,1666.0
1606.0,2366.0
2600.0,1824.0
1800.0,1974.0
2482.0,2098.0
1560.0,2102.0
1772.0,2436.0
2878.0,1976.0
2922.0,2990.0
1976.0,1628.0
1826.0,2504.0
2172.0,1494.0
2028.0,1458.0
2024.0,1840.0
1782.0,2470.0
2072.0,1380.0
962.0,3554.0
1828.0,2350.0
1790.0,2218.0
1760.0,1804.0
1658.0,2566.0
2528.0,1752.0
2424.0,1936.0
2864.0,1694.0
2122.0,2082.0
600.0,3666.0
604.0,3788.0
2090.0,2142.0
284.0,3576.0
2512.0,1488.0
116.0,3736.0
1982.0,2842.0
2848.0,2572.0
1802.0,1992.0
2086.0,1770.0
648.0,3354.0
3722.0,3808.0
2586.0,1730.0
2506.0,1728.0
2148.0,2336.0
1076.0,886.0
1984.0,2184.0
276.0,3816.0
2264.0,1438.0
436.0,3680.0
2184.0,2690.0
918.0,178.0
1376.0,1864.0
586.0,2976.0
1888.0,1678.0
2228.0,2182.0
2234.0,2214.0
678.0,3372.0
1862.0,788.0
2706.0,1154.0
266.0,3998.0
1830.0,2224.0
1728.0,2382.0
28.0,3786.0
1894.0,1604.0
104.0,3444.0
1640.0,1956.0
2290.0,1430.0
1926.0,1582.0
1640.0,2602.0
600.0,3330.0
2778.0,2468.0
2352.0,2144.0
476.0,3568.0
2070.0,2250.0
1962.0,2450.0
484.0,3694.0
1480.0,2358.0
122.0,3774.0
614.0,3708.0
1984.0,1774.0
500.0,3140.0
2332.0,2108.0
1858.0,54.0
3180.0,348.0
488.0,3440.0
2242.0,1946.0
608.0,3182.0
750.0,3312.0
1634.0,2372.0
242.0,2878.0
1738.0,2284.0
2084.0,2118.0
372.0,3798.0
220.0,3762.0
2.0,3616.0
274.0,3210.0
2604.0,1894.0
2184.0,2238.0
