x,y
2458.0,1568.0
1396.0,2534.0
386.0,884.0
2558.0,38.0
3450.0,2526.0
3082.0,3004.0
708.0,1166.0
410.0,924.0
3074.0,3038.0
3450.0,2946.0
606.0,708.0
1284.0,2858.0
750.0,1254.0
338.0,84.0
1198.0,3004.0
3444.0,2072.0
3982.0,1486.0
1646.0,2060.0
678.0,1176.0
3482.0,2504.0
3010.0,80.0
1578.0,2566.0
1296.0,2820.0
3558.0,2244.0
674.0,914.0
3250.0,1986.0
2568.0,148.0
2214.0,3528.0
2622.0,118.0
618.0,1242.0
3814.0,2874.0
1430.0,2644.0
0.0,1842.0
2816.0,2838.0
1288.0,2910.0
3108.0,2964.0
1480.0,3166.0
2738.0,78.0
532.0,816.0
36.0,3872.0
1090.0,134.0
2444.0,1940.0
752.0,1404.0
690.0,870.0
2016.0,1426.0
2320.0,3578.0
504.0,944.0
3038.0,1850.0
2462.0,310.0
2216.0,944.0
718.0,850.0
1134.0,2998.0
2432.0,48.0
3456.0,2798.0
1312.0,2440.0
3144.0,1946.0
2736.0,2350.0
2984.0,2184.0
3808.0,2924.0
2520.0,1340.0
586.0,3344.0
452.0,714.0
2572.0,0.0
410.0,2108.0
3276.0,3456.0
196.0,410.0
632.0,410.0
3206.0,1738.0
2910.0,2786.0
3754.0,1502.0
354.0,932.0
1210.0,2746.0
2618.0,80.0
2126.0,2392.0
1034.0,1578.0
3192.0,2178.0
508.0,832.0
2548.0,1164.0
2100.0,172.0
768.0,1124.0
2602.0,1170.0
3650.0,1822.0
1120.0,3036.0
476.0,898.0
322.0,1776.0
3102.0,1910.0
2880.0,70.0
1390.0,3382.0
3852.0,2314.0
1092.0,3028.0
3182.0,3146.0
3064.0,3154.0
2572.0,1886.0
3788.0,2188.0
654.0,844.0
2510.0,2.0
2670.0,3292.0
1332.0,2820.0
1088.0,1626.0
3842.0,2884.0
1204.0,2524.0
1234.0,1666.0
1444.0,2598.0
3174.0,1840.0
1310.0,2872.0
2612.0,3536.0
3552.0,2316.0
1604.0,1752.0
3606.0,2266.0
74.0,1798.0
1442.0,2476.0
1536.0,56.0
236.0,1154.0
672.0,1204.0
3150.0,104.0
2508.0,3608.0
3052.0,3020.0
1140.0,2980.0
306.0,980.0
1964.0,3528.0
3602.0,2336.0
1522.0,1940.0
542.0,856.0
1098.0,686.0
1590.0,2414.0
1876.0,3614.0
1786.0,2006.0
1780.0,2474.0
1374.0,3496.0
1674.0,1578.0
2152.0,230.0
632.0,3308.0
2890.0,28.0
866.0,1814.0
2602.0,3572.0
554.0,732.0
1342.0,2554.0
878.0,490.0
1642.0,3408.0
1886.0,818.0
628.0,634.0
858.0,1008.0
3710.0,2430.0
2596.0,556.0
540.0,3622.0
306.0,1952.0
742.0,796.0
2832.0,2938.0
2098.0,422.0
2644.0,40.0
3486.0,2706.0
844.0,1528.0
3196.0,1842.0
3418.0,2870.0
3570.0,2346.0
3176.0,1772.0
436.0,398.0
2002.0,3770.0
