x,y
2058.0,1.0
2186.0,1.0
2314.0,9.0
2018.0,13.0
2246.0,11.0
2098.0,21.0
1038.0,25.0
1992.0,25.0
3174.0,25.0
2486.0,27.0
3022.0,31.0
2136.0,35.0
2952.0,35.0
2210.0,45.0
2298.0,49.0
2348.0,47.0
2176.0,59.0
2108.0,69.0
2142.0,75.0
2976.0,77.0
2944.0,81.0
2230.0,85.0
2360.0,87.0
2310.0,101.0
2854.0,113.0
3026.0,111.0
928.0,125.0
2244.0,125.0
2280.0,129.0
2890.0,135.0
2918.0,143.0
2844.0,149.0
364.0,175.0
2908.0,175.0
2856.0,227.0
2966.0,249.0
3026.0,249.0
2836.0,259.0
2932.0,261.0
2898.0,265.0
2856.0,267.0
3002.0,273.0
2620.0,289.0
2846.0,303.0
3044.0,311.0
2784.0,327.0
2868.0,335.0
3010.0,335.0
3068.0,339.0
2382.0,361.0
2816.0,359.0
2780.0,367.0
2970.0,371.0
3022.0,373.0
3080.0,377.0
2858.0,389.0
2996.0,387.0
2746.0,395.0
2790.0,405.0
2966.0,425.0
2822.0,429.0
2914.0,437.0
2764.0,439.0
3068.0,445.0
2718.0,449.0
3022.0,449.0
440.0,473.0
2680.0,475.0
2634.0,479.0
2860.0,483.0
3032.0,485.0
2698.0,487.0
514.0,495.0
2666.0,501.0
2972.0,499.0
3010.0,501.0
2782.0,503.0
2582.0,515.0
2756.0,515.0
2910.0,517.0
2944.0,523.0
2878.0,527.0
2612.0,533.0
2798.0,549.0
2578.0,553.0
2448.0,555.0
2694.0,555.0
2648.0,563.0
2918.0,563.0
3008.0,563.0
2334.0,569.0
2850.0,567.0
2420.0,585.0
2526.0,583.0
2750.0,583.0
2294.0,587.0
2376.0,593.0
2558.0,593.0
2882.0,593.0
2952.0,597.0
2190.0,601.0
2622.0,599.0
3004.0,605.0
3120.0,603.0
2340.0,607.0
2698.0,607.0
2854.0,607.0
2220.0,613.0
2252.0,611.0
3078.0,611.0
542.0,617.0
2298.0,621.0
2480.0,621.0
2760.0,619.0
1596.0,629.0
2808.0,629.0
494.0,633.0
2554.0,631.0
2590.0,633.0
2438.0,637.0
3028.0,641.0
2624.0,645.0
2716.0,645.0
2914.0,645.0
2188.0,647.0
2680.0,649.0
2948.0,649.0
3104.0,649.0
2326.0,653.0
2598.0,655.0
2860.0,661.0
2414.0,665.0
2988.0,665.0
818.0,669.0
2728.0,667.0
2152.0,677.0
2222.0,677.0
2680.0,681.0
2788.0,679.0
2916.0,681.0
2448.0,683.0
3018.0,685.0
1684.0,687.0
2308.0,687.0
2514.0,691.0
2130.0,695.0
2724.0,697.0
2848.0,711.0
2900.0,713.0
2094.0,715.0
2268.0,715.0
2380.0,717.0
2464.0,715.0
2560.0,717.0
3112.0,717.0
2054.0,725.0
3034.0,725.0
2804.0,729.0
2344.0,731.0
2638.0,731.0
2090.0,735.0
2186.0,735.0
2238.0,735.0
2304.0,737.0
2368.0,737.0
2516.0,739.0
2732.0,739.0
2690.0,745.0
2054.0,749.0
3070.0,749.0
2426.0,753.0
2240.0,757.0
2372.0,759.0
2490.0,761.0
2648.0,761.0
2196.0,769.0
3014.0,767.0
2904.0,775.0
584.0,781.0
2596.0,781.0
1660.0,785.0
2318.0,783.0
2398.0,785.0
2544.0,785.0
2968.0,785.0
2758.0,793.0
2222.0,797.0
2356.0,795.0
2710.0,805.0
2916.0,807.0
2998.0,809.0
1794.0,815.0
3144.0,815.0
2200.0,821.0
2242.0,819.0
2416.0,819.0
2526.0,821.0
3060.0,819.0
3096.0,819.0
2138.0,827.0
2580.0,827.0
2486.0,835.0
2836.0,837.0
2962.0,837.0
2176.0,839.0
2268.0,843.0
2664.0,843.0
2776.0,847.0
3114.0,851.0
134.0,865.0
2416.0,863.0
2634.0,865.0
3028.0,863.0
3146.0,863.0
3174.0,865.0
2838.0,869.0
2588.0,871.0
2966.0,871.0
2706.0,875.0
2556.0,885.0
1830.0,889.0
1868.0,889.0
2446.0,889.0
1946.0,893.0
2506.0,891.0
2866.0,891.0
2354.0,895.0
2658.0,899.0
2944.0,903.0
2620.0,911.0
2760.0,917.0
2982.0,915.0
2684.0,921.0
2796.0,919.0
3132.0,919.0
1892.0,925.0
1858.0,927.0
2904.0,929.0
3022.0,929.0
1826.0,935.0
2648.0,937.0
612.0,939.0
1932.0,941.0
648.0,947.0
740.0,947.0
2820.0,949.0
1984.0,951.0
2010.0,955.0
2740.0,957.0
2930.0,955.0
2246.0,959.0
2044.0,965.0
2458.0,963.0
490.0,969.0
1838.0,973.0
3146.0,971.0
530.0,975.0
1986.0,977.0
2426.0,977.0
1918.0,981.0
2964.0,979.0
704.0,983.0
2756.0,983.0
3016.0,997.0
3054.0,1001.0
2900.0,1005.0
2124.0,1009.0
2994.0,1013.0
3154.0,1011.0
704.0,1015.0
2044.0,1021.0
2936.0,1019.0
3100.0,1021.0
1982.0,1025.0
2806.0,1025.0
3130.0,1029.0
2080.0,1041.0
2870.0,1045.0
2286.0,1047.0
2780.0,1051.0
3092.0,1051.0
2966.0,1055.0
3058.0,1057.0
2192.0,1061.0
2380.0,1059.0
2012.0,1065.0
2318.0,1067.0
2352.0,1069.0
1038.0,1073.0
2736.0,1073.0
2132.0,1075.0
3006.0,1075.0
2244.0,1081.0
2798.0,1079.0
2692.0,1085.0
3150.0,1085.0
3092.0,1087.0
2386.0,1101.0
2928.0,1101.0
3066.0,1099.0
2086.0,1105.0
2170.0,1107.0
2764.0,1111.0
2270.0,1115.0
2012.0,1121.0
2654.0,1125.0
2202.0,1129.0
3016.0,1131.0
1978.0,1135.0
1426.0,1139.0
1910.0,1145.0
1820.0,1147.0
2622.0,1149.0
1788.0,1153.0
2722.0,1151.0
2824.0,1153.0
1516.0,1155.0
1752.0,1155.0
3102.0,1157.0
2582.0,1159.0
3174.0,1161.0
2016.0,1163.0
1358.0,1167.0
2226.0,1169.0
2048.0,1171.0
2088.0,1177.0
2908.0,1175.0
1938.0,1181.0
2772.0,1185.0
1668.0,1187.0
1792.0,1187.0
2236.0,1187.0
2616.0,1187.0
1486.0,1193.0
1704.0,1191.0
3136.0,1191.0
1520.0,1195.0
1768.0,1197.0
1864.0,1201.0
3016.0,1195.0
426.0,1201.0
1896.0,1199.0
1614.0,1205.0
1820.0,1205.0
2844.0,1209.0
2606.0,1211.0
1356.0,1217.0
1726.0,1217.0
2948.0,1215.0
1400.0,1219.0
2662.0,1219.0
2638.0,1225.0
2580.0,1229.0
3134.0,1229.0
2232.0,1233.0
2808.0,1233.0
2982.0,1235.0
2122.0,1241.0
2880.0,1239.0
2914.0,1241.0
1498.0,1243.0
1546.0,1243.0
1674.0,1245.0
1712.0,1245.0
1796.0,1243.0
1590.0,1247.0
3028.0,1247.0
3164.0,1253.0
1334.0,1257.0
1416.0,1255.0
1518.0,1257.0
2696.0,1255.0
2202.0,1261.0
2800.0,1265.0
1380.0,1269.0
2172.0,1269.0
2572.0,1271.0
1440.0,1279.0
1480.0,1279.0
1572.0,1281.0
2080.0,1281.0
1656.0,1285.0
2896.0,1283.0
1724.0,1289.0
2726.0,1287.0
3008.0,1289.0
3104.0,1289.0
1602.0,1293.0
3148.0,1291.0
1696.0,1297.0
2348.0,1295.0
2612.0,1295.0
1304.0,1305.0
2216.0,1303.0
2786.0,1305.0
2832.0,1303.0
1674.0,1309.0
2092.0,1321.0
2142.0,1321.0
2332.0,1321.0
2564.0,1319.0
30.0,1323.0
1466.0,1323.0
2638.0,1323.0
2186.0,1329.0
2704.0,1327.0
1360.0,1331.0
1582.0,1333.0
62.0,1335.0
1512.0,1337.0
1648.0,1337.0
2666.0,1335.0
2906.0,1337.0
2988.0,1337.0
3060.0,1339.0
2848.0,1343.0
3026.0,1343.0
1544.0,1347.0
2754.0,1347.0
1950.0,1355.0
2272.0,1355.0
2784.0,1359.0
80.0,1365.0
436.0,1363.0
2038.0,1367.0
2568.0,1369.0
2870.0,1369.0
1346.0,1373.0
1510.0,1371.0
3012.0,1371.0
2230.0,1383.0
2416.0,1385.0
2666.0,1385.0
8.0,1387.0
2114.0,1389.0
2802.0,1387.0
3054.0,1387.0
2302.0,1393.0
2338.0,1393.0
2550.0,1393.0
2744.0,1393.0
2980.0,1393.0
1402.0,1395.0
2008.0,1395.0
2504.0,1395.0
2896.0,1395.0
1364.0,1401.0
2160.0,1399.0
2454.0,1403.0
2700.0,1403.0
2084.0,1409.0
2778.0,1411.0
3070.0,1411.0
2044.0,1421.0
2936.0,1421.0
2276.0,1423.0
2494.0,1423.0
3114.0,1423.0
3010.0,1427.0
2380.0,1433.0
1900.0,1435.0
2338.0,1435.0
1992.0,1439.0
3136.0,1439.0
1920.0,1445.0
2168.0,1445.0
2112.0,1447.0
1832.0,1451.0
2138.0,1453.0
2454.0,1451.0
3036.0,1457.0
3174.0,1457.0
1872.0,1461.0
2304.0,1459.0
1966.0,1465.0
418.0,1467.0
2370.0,1469.0
1902.0,1475.0
2168.0,1475.0
3134.0,1475.0
2108.0,1479.0
2214.0,1485.0
2324.0,1485.0
2276.0,1489.0
1940.0,1495.0
2196.0,1497.0
1800.0,1503.0
1856.0,1503.0
1960.0,1503.0
2018.0,1503.0
1756.0,1509.0
1988.0,1509.0
434.0,1513.0
3010.0,1517.0
3134.0,1515.0
1724.0,1519.0
1890.0,1529.0
3174.0,1529.0
1780.0,1537.0
1966.0,1535.0
1690.0,1541.0
2098.0,1543.0
1650.0,1549.0
2044.0,1551.0
3084.0,1551.0
342.0,1571.0
1908.0,1569.0
1704.0,1575.0
1740.0,1575.0
1802.0,1577.0
1606.0,1585.0
1636.0,1583.0
1890.0,1587.0
1836.0,1593.0
2040.0,1593.0
2070.0,1591.0
1784.0,1595.0
3082.0,1595.0
1668.0,1599.0
2006.0,1599.0
1964.0,1611.0
3152.0,1613.0
1722.0,1615.0
2934.0,1615.0
1588.0,1619.0
1632.0,1619.0
1754.0,1623.0
2806.0,1623.0
3104.0,1625.0
1530.0,1633.0
1780.0,1631.0
1722.0,1635.0
1168.0,1647.0
1488.0,1647.0
1698.0,1653.0
1818.0,1653.0
3164.0,1669.0
1770.0,1671.0
1524.0,1677.0
1580.0,1675.0
1802.0,1677.0
1484.0,1681.0
1668.0,1699.0
3142.0,1703.0
1550.0,1709.0
1604.0,1707.0
1978.0,1709.0
2742.0,1709.0
2634.0,1713.0
2540.0,1715.0
2680.0,1727.0
3106.0,1727.0
2320.0,1733.0
2380.0,1731.0
2470.0,1733.0
2752.0,1731.0
2790.0,1733.0
2582.0,1737.0
3174.0,1739.0
2434.0,1745.0
2548.0,1743.0
2140.0,1751.0
2714.0,1751.0
924.0,1757.0
2200.0,1755.0
3128.0,1755.0
2246.0,1761.0
2850.0,1761.0
2884.0,1763.0
2338.0,1769.0
2462.0,1769.0
2692.0,1777.0
2934.0,1777.0
516.0,1779.0
2030.0,1779.0
2092.0,1779.0
2158.0,1779.0
2292.0,1779.0
2368.0,1779.0
2570.0,1779.0
2738.0,1779.0
3174.0,1779.0
3568.0,3.0
3410.0,9.0
3716.0,21.0
3822.0,25.0
3878.0,31.0
3924.0,33.0
3754.0,35.0
3958.0,41.0
3560.0,45.0
3934.0,53.0
3606.0,55.0
3672.0,55.0
3484.0,61.0
3752.0,59.0
3644.0,69.0
3832.0,67.0
3956.0,71.0
3440.0,79.0
3816.0,85.0
3540.0,107.0
3858.0,109.0
3956.0,109.0
3984.0,113.0
3636.0,117.0
3682.0,121.0
3588.0,125.0
3876.0,127.0
3410.0,131.0
3518.0,133.0
3790.0,137.0
3918.0,135.0
3714.0,141.0
3752.0,147.0
3442.0,157.0
3652.0,161.0
3494.0,165.0
3556.0,165.0
3786.0,163.0
3990.0,173.0
3680.0,175.0
3460.0,179.0
3910.0,179.0
3602.0,183.0
3720.0,183.0
3534.0,203.0
3922.0,203.0
3480.0,219.0
3562.0,231.0
3448.0,235.0
3502.0,245.0
3556.0,267.0
3614.0,273.0
3450.0,275.0
3662.0,277.0
3536.0,311.0
3618.0,319.0
3770.0,323.0
3700.0,329.0
3484.0,333.0
3784.0,341.0
3590.0,353.0
3624.0,351.0
3476.0,369.0
3508.0,375.0
3990.0,385.0
3564.0,387.0
3454.0,409.0
3500.0,413.0
3806.0,411.0
3626.0,423.0
3668.0,459.0
3466.0,465.0
3638.0,467.0
3500.0,489.0
3642.0,487.0
3434.0,495.0
3606.0,495.0
3674.0,511.0
3458.0,519.0
3978.0,521.0
3238.0,523.0
3854.0,529.0
3478.0,541.0
3408.0,551.0
3548.0,551.0
3656.0,555.0
3996.0,559.0
3432.0,563.0
3604.0,565.0
3946.0,569.0
3458.0,575.0
3682.0,577.0
3532.0,591.0
3562.0,591.0
3908.0,597.0
3632.0,599.0
3972.0,601.0
3716.0,605.0
3482.0,607.0
3756.0,613.0
3942.0,615.0
3542.0,625.0
3804.0,631.0
3774.0,639.0
3712.0,645.0
3506.0,655.0
3956.0,657.0
3566.0,665.0
3650.0,665.0
3802.0,665.0
3914.0,667.0
3750.0,677.0
3834.0,685.0
3724.0,691.0
3588.0,701.0
3878.0,707.0
3840.0,749.0
3226.0,757.0
3806.0,755.0
3778.0,777.0
3814.0,785.0
3798.0,793.0
3964.0,801.0
3972.0,833.0
3334.0,849.0
3184.0,851.0
3810.0,851.0
3282.0,855.0
3588.0,861.0
3218.0,871.0
3780.0,873.0
3724.0,877.0
3978.0,875.0
3910.0,885.0
3572.0,887.0
3202.0,891.0
3810.0,897.0
3600.0,899.0
3688.0,899.0
3748.0,901.0
3196.0,921.0
3480.0,921.0
3638.0,931.0
3798.0,933.0
3976.0,931.0
3464.0,941.0
3256.0,943.0
3336.0,949.0
3546.0,947.0
3226.0,951.0
3500.0,959.0
3642.0,961.0
3326.0,971.0
3392.0,971.0
3430.0,973.0
3546.0,975.0
3606.0,979.0
3356.0,985.0
3472.0,983.0
3854.0,993.0
3532.0,1001.0
3200.0,1011.0
3242.0,1013.0
3444.0,1011.0
3598.0,1013.0
3336.0,1015.0
3382.0,1019.0
3504.0,1021.0
3538.0,1041.0
3564.0,1039.0
3420.0,1045.0
3778.0,1045.0
3444.0,1047.0
3990.0,1055.0
3282.0,1061.0
3504.0,1061.0
3328.0,1065.0
3358.0,1065.0
3834.0,1063.0
3196.0,1079.0
3386.0,1079.0
3460.0,1081.0
3418.0,1095.0
3488.0,1095.0
3330.0,1107.0
3948.0,1109.0
3368.0,1119.0
3256.0,1129.0
3280.0,1133.0
3310.0,1151.0
3892.0,1157.0
3936.0,1151.0
3844.0,1155.0
3264.0,1161.0
3194.0,1163.0
3942.0,1177.0
3720.0,1193.0
3848.0,1195.0
3686.0,1201.0
3770.0,1201.0
3750.0,1207.0
3210.0,1219.0
3984.0,1223.0
3830.0,1227.0
3694.0,1239.0
3746.0,1249.0
3786.0,1253.0
3212.0,1255.0
3850.0,1261.0
3906.0,1271.0
3662.0,1277.0
3876.0,1281.0
3550.0,1283.0
3960.0,1283.0
3786.0,1305.0
3694.0,1315.0
3606.0,1319.0
3892.0,1325.0
3724.0,1331.0
3670.0,1345.0
3840.0,1345.0
3964.0,1349.0
3494.0,1353.0
3746.0,1355.0
3706.0,1365.0
3536.0,1375.0
3670.0,1379.0
3908.0,1381.0
3422.0,1383.0
3568.0,1385.0
3770.0,1383.0
3494.0,1389.0
3860.0,1393.0
3450.0,1401.0
3964.0,1401.0
3668.0,1405.0
3522.0,1413.0
3406.0,1415.0
3232.0,1419.0
3352.0,1421.0
3470.0,1419.0
3496.0,1437.0
3672.0,1439.0
3760.0,1441.0
3962.0,1443.0
3194.0,1447.0
3292.0,1453.0
3324.0,1451.0
3366.0,1453.0
3402.0,1451.0
3230.0,1455.0
3978.0,1467.0
3512.0,1471.0
3718.0,1491.0
3828.0,1493.0
3312.0,1495.0
3876.0,1495.0
3910.0,1497.0
3500.0,1503.0
3940.0,1501.0
3386.0,1511.0
3978.0,1511.0
3710.0,1517.0
3766.0,1525.0
3200.0,1537.0
3524.0,1537.0
3792.0,1535.0
3330.0,1541.0
3650.0,1541.0
3830.0,1541.0
3896.0,1539.0
3408.0,1545.0
3592.0,1549.0
3954.0,1561.0
3992.0,1557.0
3768.0,1561.0
3462.0,1573.0
3622.0,1573.0
3934.0,1577.0
3188.0,1579.0
3226.0,1583.0
3872.0,1583.0
3258.0,1587.0
3674.0,1591.0
3734.0,1591.0
3396.0,1595.0
