x,y
425.0,17.0
1139.0,29.0
1677.0,31.0
1567.0,39.0
709.0,41.0
1545.0,45.0
661.0,57.0
749.0,71.0
615.0,83.0
289.0,89.0
777.0,89.0
679.0,103.0
477.0,107.0
1605.0,109.0
1765.0,109.0
937.0,125.0
757.0,135.0
1639.0,135.0
1709.0,135.0
585.0,137.0
791.0,139.0
83.0,143.0
1749.0,149.0
1619.0,153.0
873.0,157.0
1117.0,161.0
1569.0,161.0
1715.0,165.0
1367.0,179.0
1869.0,177.0
47.0,183.0
587.0,183.0
613.0,185.0
871.0,187.0
1823.0,187.0
1791.0,189.0
417.0,199.0
91.0,213.0
873.0,219.0
1253.0,223.0
661.0,227.0
1123.0,227.0
1297.0,245.0
1329.0,245.0
895.0,249.0
1483.0,249.0
1795.0,253.0
923.0,265.0
1151.0,273.0
1667.0,275.0
429.0,281.0
1393.0,283.0
1625.0,283.0
1433.0,287.0
1291.0,289.0
1323.0,289.0
369.0,295.0
1173.0,295.0
1489.0,299.0
1189.0,315.0
605.0,317.0
1307.0,319.0
1409.0,317.0
1757.0,339.0
1249.0,359.0
1289.0,357.0
1321.0,361.0
1665.0,363.0
627.0,369.0
769.0,371.0
1541.0,371.0
843.0,373.0
899.0,373.0
1199.0,375.0
1681.0,377.0
1643.0,381.0
1761.0,383.0
1423.0,391.0
1443.0,389.0
1523.0,393.0
1495.0,397.0
1711.0,413.0
1605.0,419.0
1481.0,423.0
1333.0,427.0
1809.0,425.0
249.0,433.0
101.0,443.0
1367.0,441.0
1299.0,447.0
1635.0,449.0
1489.0,457.0
37.0,463.0
1391.0,475.0
651.0,481.0
725.0,483.0
1617.0,481.0
1327.0,489.0
1575.0,505.0
249.0,519.0
1337.0,521.0
1701.0,523.0
167.0,539.0
1581.0,553.0
185.0,561.0
1365.0,563.0
1453.0,565.0
393.0,569.0
151.0,575.0
1315.0,577.0
1557.0,587.0
201.0,607.0
147.0,609.0
1541.0,617.0
1643.0,621.0
1159.0,633.0
609.0,645.0
305.0,663.0
157.0,671.0
1667.0,669.0
1357.0,681.0
1669.0,713.0
589.0,729.0
1897.0,729.0
119.0,735.0
1025.0,733.0
1547.0,735.0
85.0,739.0
1647.0,759.0
1605.0,771.0
515.0,783.0
1439.0,795.0
1469.0,795.0
181.0,797.0
1183.0,797.0
1689.0,799.0
1369.0,801.0
643.0,805.0
17.0,815.0
843.0,813.0
161.0,819.0
101.0,829.0
1373.0,835.0
975.0,839.0
1803.0,847.0
35.0,887.0
657.0,887.0
1045.0,891.0
147.0,893.0
721.0,903.0
555.0,905.0
1707.0,909.0
203.0,931.0
1261.0,983.0
1169.0,991.0
243.0,999.0
403.0,1003.0
1455.0,1021.0
1665.0,1029.0
259.0,1033.0
1133.0,1039.0
1893.0,1069.0
917.0,1099.0
1157.0,1097.0
985.0,1103.0
511.0,1105.0
1183.0,1125.0
499.0,1135.0
1811.0,1139.0
611.0,1141.0
861.0,1147.0
553.0,1153.0
815.0,1159.0
33.0,1161.0
1813.0,1161.0
1841.0,1163.0
1839.0,1195.0
509.0,1201.0
567.0,1201.0
247.0,1207.0
801.0,1215.0
133.0,1219.0
441.0,1225.0
1903.0,1219.0
1843.0,1223.0
1169.0,1231.0
1299.0,1233.0
1709.0,1233.0
1801.0,1233.0
1879.0,1241.0
1615.0,1251.0
921.0,1253.0
457.0,1271.0
795.0,1275.0
1015.0,1281.0
1903.0,1281.0
1883.0,1287.0
1591.0,1291.0
1553.0,1295.0
1391.0,1305.0
1745.0,1305.0
1769.0,1313.0
921.0,1327.0
1223.0,1331.0
1379.0,1339.0
703.0,1367.0
1179.0,1365.0
1801.0,1375.0
1749.0,1383.0
1641.0,1391.0
829.0,1395.0
1687.0,1401.0
495.0,1415.0
1625.0,1415.0
1401.0,1419.0
233.0,1425.0
1579.0,1427.0
1235.0,1435.0
1771.0,1437.0
1815.0,1455.0
335.0,1463.0
1619.0,1465.0
1685.0,1465.0
1215.0,1471.0
1243.0,1473.0
369.0,1489.0
481.0,1499.0
1393.0,1507.0
819.0,1515.0
425.0,1531.0
505.0,1529.0
1655.0,1529.0
1739.0,1551.0
1691.0,1553.0
467.0,1563.0
1105.0,1563.0
1245.0,1563.0
1123.0,1587.0
1873.0,1607.0
611.0,1613.0
1667.0,1613.0
577.0,1621.0
1377.0,1623.0
1163.0,1639.0
2311.0,7.0
2207.0,13.0
2659.0,23.0
3017.0,31.0
3849.0,35.0
2983.0,41.0
2165.0,47.0
2305.0,47.0
2279.0,71.0
2107.0,79.0
2079.0,83.0
2353.0,81.0
3265.0,81.0
3357.0,89.0
2799.0,101.0
1983.0,115.0
1965.0,127.0
2311.0,159.0
2369.0,159.0
2405.0,163.0
1975.0,175.0
3605.0,175.0
3729.0,183.0
3771.0,183.0
2405.0,189.0
3085.0,189.0
2363.0,193.0
2025.0,215.0
2931.0,233.0
2647.0,243.0
2357.0,253.0
2377.0,255.0
2487.0,273.0
2577.0,283.0
2053.0,287.0
1983.0,295.0
2143.0,293.0
3081.0,293.0
3135.0,307.0
2449.0,313.0
2191.0,317.0
2033.0,321.0
2157.0,329.0
2521.0,331.0
2287.0,337.0
2395.0,343.0
2697.0,343.0
2539.0,373.0
2833.0,379.0
2103.0,383.0
2185.0,401.0
3885.0,403.0
3301.0,451.0
2739.0,455.0
3159.0,465.0
3313.0,485.0
2725.0,489.0
2077.0,493.0
3349.0,503.0
3577.0,501.0
3375.0,505.0
3273.0,531.0
3549.0,555.0
2793.0,559.0
3295.0,563.0
3871.0,561.0
2239.0,567.0
2805.0,577.0
2829.0,597.0
3619.0,609.0
2761.0,635.0
3343.0,637.0
2839.0,641.0
3769.0,651.0
3551.0,659.0
3497.0,675.0
3811.0,679.0
2581.0,683.0
3383.0,681.0
3161.0,685.0
3577.0,697.0
3827.0,697.0
3065.0,703.0
3239.0,701.0
3559.0,727.0
2465.0,729.0
1931.0,741.0
3275.0,747.0
3009.0,749.0
2567.0,755.0
3337.0,755.0
3597.0,767.0
2715.0,769.0
3015.0,785.0
2223.0,795.0
1975.0,809.0
3093.0,829.0
2009.0,839.0
2189.0,841.0
3373.0,843.0
3099.0,871.0
3281.0,891.0
2039.0,941.0
3547.0,987.0
2871.0,989.0
2213.0,1001.0
2565.0,1001.0
2255.0,1007.0
1979.0,1015.0
3465.0,1023.0
2193.0,1031.0
2013.0,1045.0
2235.0,1045.0
3457.0,1055.0
3787.0,1053.0
