x,y
591.0,2395.0
3267.0,3419.0
1573.0,2565.0
3259.0,2561.0
3229.0,2499.0
1017.0,459.0
667.0,407.0
1827.0,1845.0
1111.0,957.0
135.0,245.0
2819.0,1791.0
2859.0,79.0
1127.0,473.0
1729.0,2295.0
1173.0,2129.0
965.0,1877.0
1075.0,2421.0
1655.0,1355.0
489.0,703.0
1713.0,1711.0
3599.0,3787.0
1651.0,2281.0
1125.0,1297.0
1081.0,1275.0
1249.0,799.0
2137.0,3935.0
237.0,975.0
3499.0,3595.0
1613.0,1731.0
2977.0,3821.0
3265.0,2485.0
3093.0,2077.0
2853.0,1501.0
1961.0,1735.0
2047.0,913.0
1021.0,1169.0
3405.0,1935.0
1075.0,2199.0
1265.0,2087.0
77.0,3315.0
3115.0,3089.0
511.0,2813.0
3533.0,1329.0
3511.0,2785.0
3279.0,2919.0
2735.0,789.0
1437.0,323.0
2697.0,733.0
2575.0,1213.0
1483.0,1789.0
2965.0,587.0
481.0,2979.0
3357.0,591.0
273.0,1713.0
837.0,2305.0
1073.0,2309.0
783.0,2995.0
2445.0,565.0
2603.0,1849.0
185.0,2245.0
1209.0,553.0
439.0,1057.0
427.0,1961.0
3779.0,2657.0
2233.0,1867.0
1243.0,509.0
3967.0,2025.0
3553.0,3667.0
1981.0,1737.0
721.0,391.0
3661.0,1581.0
1365.0,1893.0
1083.0,2353.0
783.0,2245.0
3817.0,1681.0
3437.0,2139.0
2011.0,1611.0
1379.0,2071.0
3509.0,2829.0
1597.0,433.0
2591.0,1893.0
3503.0,915.0
3391.0,3497.0
2593.0,1103.0
205.0,3371.0
3239.0,2185.0
1247.0,2045.0
3429.0,1979.0
985.0,2311.0
603.0,2351.0
837.0,1027.0
881.0,679.0
2245.0,55.0
2181.0,1241.0
2609.0,355.0
2239.0,3753.0
3339.0,3097.0
3003.0,1829.0
2243.0,1391.0
3585.0,2601.0
2449.0,449.0
3911.0,2345.0
697.0,2991.0
3607.0,2081.0
2565.0,3711.0
1461.0,1913.0
3173.0,2035.0
2871.0,1713.0
3713.0,1979.0
2095.0,61.0
881.0,1669.0
2383.0,241.0
1573.0,697.0
2831.0,1595.0
471.0,1967.0
2411.0,3611.0
3117.0,2661.0
1133.0,653.0
2935.0,553.0
2333.0,1625.0
819.0,2555.0
3189.0,2003.0
1385.0,339.0
543.0,131.0
2117.0,1303.0
2595.0,1385.0
409.0,2897.0
831.0,3087.0
3895.0,1649.0
2751.0,1379.0
2267.0,1139.0
3273.0,2865.0
935.0,1915.0
1083.0,625.0
17.0,2401.0
679.0,3137.0
2723.0,1409.0
3531.0,2171.0
2809.0,3221.0
837.0,741.0
2597.0,397.0
3647.0,2083.0
2667.0,3727.0
2651.0,817.0
3459.0,413.0
1561.0,731.0
1183.0,773.0
413.0,2023.0
2243.0,649.0
1093.0,1329.0
2139.0,1249.0
3551.0,1827.0
593.0,1921.0
341.0,2991.0
2453.0,769.0
2655.0,561.0
1153.0,2419.0
1477.0,2715.0
2643.0,835.0
3621.0,2605.0
1077.0,2027.0
2813.0,509.0
2093.0,841.0
3271.0,1569.0
989.0,1171.0
697.0,715.0
687.0,2681.0
1559.0,2725.0
719.0,1341.0
1349.0,415.0
387.0,2239.0
223.0,2287.0
1525.0,1697.0
733.0,257.0
2421.0,419.0
1379.0,377.0
1755.0,149.0
3407.0,3777.0
2777.0,1945.0
3355.0,3785.0
3023.0,2461.0
1217.0,481.0
3787.0,1879.0
3147.0,321.0
2149.0,37.0
3329.0,3491.0
973.0,429.0
2971.0,1173.0
1163.0,2267.0
2683.0,777.0
3511.0,1877.0
1935.0,1767.0
2687.0,869.0
2707.0,3597.0
2417.0,987.0
2929.0,3309.0
3565.0,53.0
1773.0,877.0
1259.0,295.0
3335.0,1433.0
2621.0,3527.0
2819.0,865.0
435.0,627.0
2761.0,825.0
2057.0,75.0
1205.0,2209.0
3015.0,1875.0
917.0,1641.0
3255.0,2369.0
2427.0,1679.0
2757.0,2145.0
661.0,2027.0
621.0,1923.0
2327.0,1313.0
2893.0,531.0
3625.0,1735.0
3465.0,3989.0
3479.0,3405.0
1365.0,2117.0
765.0,3109.0
1429.0,2695.0
439.0,2849.0
3181.0,1745.0
3599.0,1775.0
2983.0,1233.0
3809.0,2105.0
1017.0,439.0
2677.0,3601.0
2171.0,1637.0
2281.0,1335.0
1503.0,2049.0
935.0,685.0
2771.0,2301.0
3219.0,1325.0
1007.0,631.0
2805.0,2223.0
2253.0,1181.0
3573.0,1687.0
2303.0,1315.0
3799.0,2381.0
969.0,903.0
1203.0,2343.0
927.0,199.0
1839.0,2263.0
3027.0,3729.0
803.0,2623.0
3053.0,2097.0
2497.0,3859.0
3085.0,395.0
523.0,901.0
2931.0,3347.0
3343.0,1775.0
1201.0,1247.0
2853.0,1951.0
927.0,1743.0
1801.0,1165.0
1069.0,211.0
3453.0,1627.0
1391.0,1931.0
1211.0,2031.0
2201.0,401.0
3257.0,469.0
3149.0,3053.0
3911.0,2837.0
2553.0,3657.0
3741.0,2309.0
617.0,1801.0
3045.0,639.0
2517.0,611.0
1699.0,2589.0
715.0,1571.0
569.0,2463.0
3839.0,2833.0
1621.0,1509.0
2397.0,1789.0
3441.0,3441.0
1181.0,2365.0
2745.0,933.0
3255.0,3523.0
3243.0,3885.0
1479.0,501.0
647.0,863.0
935.0,3137.0
3049.0,1579.0
1779.0,1141.0
2515.0,655.0
2039.0,1271.0
2293.0,1835.0
