x,y
6,1109
3379,3617
2913,3033
32,2007
3529,2451
1307,2000
2472,2503
2739,2092
678,1847
2164,2272
515,1121
2095,2968
698,290
3570,1287
703,1988
2504,2469
3802,2729
647,1307
167,823
2392,1263
1611,2135
3398,1095
1855,2185
2904,3258
2242,2337
507,2695
3288,3109
3475,3127
2628,2485
1265,2737
1469,2213
564,1023
3382,3036
2710,3098
1925,2256
753,315
3625,2581
3376,3716
1989,2411
317,973
2649,2461
1347,1947
2738,3077
3342,3578
1175,2592
3008,3398
2396,3108
1113,654
2553,2461
3805,2648
163,883
2461,2773
2911,1919
2204,2604
2681,3098
1599,2154
3335,3987
3781,2671
234,768
3569,2576
777,1919
2929,3040
1889,2337
1980,2283
469,1037
1793,2914
1327,2633
1824,2391
22,2163
2530,2689
3604,2658
281,2306
3343,3056
239,1858
169,2334
3740,2689
3295,2669
301,930
1588,2297
3133,3546
485,1115
3316,3106
3727,2165
3174,1506
3293,3552
3810,2633
3384,3038
3132,2944
1492,2476
1979,2500
625,1322
3862,1095
2805,3779
3365,3120
3378,3882
3378,3590
1721,2337
3125,3649
1604,2053
659,1355
2487,2486
462,1163
620,385
362,3505
2097,2350
2763,2237
505,1559
1472,2013
1432,2692
1012,1986
504,1080
583,272
3269,2665
1080,1703
2795,3088
518,1381
2015,2433
1756,2112
3696,766
836,2473
387,39
3694,1253
277,907
202,2477
317,1649
71,593
696,1791
2533,3164
3556,2665
179,1975
3847,1091
3395,2642
327,630
292,846
2884,2163
2437,2684
19,1332
1953,1019
3896,2886
445,1141
288,537
1541,2492
840,1129
3327,3889
3863,1162
2026,2278
2462,1299
1008,2625
3713,2569
3794,1161
1419,2700
1786,2363
546,1314
1999,2506
3062,1328
2351,2571
1394,2005
366,994
1557,2504
983,583
485,1082
1922,2325
190,1617
404,1949
3468,1326
2925,3131
3305,1228
209,1671
2012,2499
3238,3697
576,1461
3620,2705
258,803
2716,3090
393,1673
3256,3645
466,1486
2499,2809
165,1601
581,1850
1498,2250
3513,2629
1497,857
1953,2495
3369,2682
533,2688
174,1018
1500,2444
3136,2170
3525,2623
1876,2391
372,593
3403,2434
2091,2463
3486,2669
1572,1976
771,2240
2715,3210
296,1727
3970,3385
2809,3794
1750,3092
1140,2939
2161,2468
3139,3514
1817,2336
3895,2615
278,859
3944,921
487,242
415,1087
1433,2687
1043,2489
3479,2649
624,578
650,2259
2046,2392
2222,2972
2429,2300
2243,2672
476,1993
1532,2248
804,335
3215,2649
2340,2747
1168,2521
3327,3570
609,3175
3627,654
279,124
3332,2684
63,336
2003,2413
426,1098
477,865
1623,3112
1960,2488
602,338
598,246
2156,2237
503,69
2261,2998
2891,3248
2358,2599
488,2125
530,2324
925,649
3910,1101
2038,2494
1065,1988
3771,2622
2451,2686
3108,2959
651,2228
1971,2441
159,621
330,1651
741,1631
2830,3208
727,2003
461,212
2377,2409
276,573
3209,1331
250,1703
922,533
1388,1934
1058,2342
3029,3321
1463,3657
2136,2252
926,547
708,1983
541,1354
1575,2013
297,20
580,1348
255,1188
3513,2688
509,1561
2584,2480
289,912
3399,3626
934,535
2862,3256
176,587
2818,2174
284,1772
1145,962
406,1937
1657,2469
163,728
284,1195
3489,1923
1843,2424
147,768
232,893
466,2226
3312,2405
649,387
1398,2340
2427,2980
2772,2984
1989,2607
3510,2679
1706,2163
2012,2313
422,916
2197,2293
2905,2919
1779,2929
2913,3312
3424,3677
3277,2667
3066,2822
2680,3067
291,637
3508,3155
3104,3424
3515,2460
1918,2479
2766,3698
3485,1879
1324,1026
3209,2672
2199,2610
2754,3232
2200,2325
2023,2428
3695,2469
3637,1260
862,559
689,1967
2860,2965
2563,2423
552,1181
2699,3193
2709,2265
369,615
3784,2126
306,856
2904,1468
72,1080
1383,2136
3647,2704
2725,3621
1643,2203
3566,1296
3135,3565
3352,2488
341,2880
3900,2565
2217,2335
582,1358
2135,2870
1303,1911
2501,2899
3876,2551
595,3066
3015,2863
2262,2316
2236,2611
1150,2905
2925,3078
1529,1968
3996,3411
3113,2923
2937,3253
277,610
262,947
863,2323
544,1814
907,2492
428,1976
1934,2410
3449,2432
